barrio_1,ambientes,m2total,db_lo_num,preciousd,precio_x_m2,latitud,longitud
CHACARITA,2.0,37.0,75.0,87000.0,2351.3513513513512,-34.578315,-58.460095
CHACARITA,1.0,38.0,70.0,110000.0,2894.7368421052633,-34.58287,-58.445216
CHACARITA,1.0,35.0,75.0,125000.0,3571.4285714285716,-34.579403,-58.454801
CHACARITA,4.0,89.0,75.0,256000.0,2876.4044943820227,-34.583204,-58.444416
CHACARITA,3.0,82.0,75.0,198000.0,2414.6341463414633,-34.578328,-58.460113
CHACARITA,1.0,45.0,75.0,117000.0,2600.0,-34.582848,-58.448434
CHACARITA,0.0,40.0,75.0,125000.0,3125.0,-34.581901,-58.451378
CHACARITA,1.0,43.0,75.0,149000.0,3465.1162790697676,-34.586804,-58.441392
CHACARITA,2.0,58.0,75.0,125000.0,2155.1724137931033,-34.592255,-58.447103
CHACARITA,4.0,73.0,75.0,190000.0,2602.7397260273974,-34.592168,-58.446942
CHACARITA,3.0,76.0,75.0,165000.0,2171.0526315789475,-34.583848,-58.452982
CHACARITA,2.0,62.0,70.0,158000.0,2548.3870967741937,-34.587144,-58.452325
CHACARITA,3.0,51.0,70.0,150000.0,2941.176470588235,-34.590172,-58.446511
CHACARITA,1.0,45.0,75.0,154000.0,3422.222222222222,-34.583735,-58.446337
CHACARITA,0.0,46.0,75.0,128000.0,2782.608695652174,-34.583075,-58.446026
CHACARITA,1.0,38.0,75.0,95000.0,2500.0,-34.590055,-58.449306
CHACARITA,0.0,33.0,75.0,88000.0,2666.6666666666665,-34.589842,-58.449397
CHACARITA,1.0,36.0,75.0,94000.0,2611.1111111111113,-34.585055,-58.454256
CHACARITA,2.0,60.0,70.0,142000.0,2366.6666666666665,-34.585899,-58.449895
CHACARITA,2.0,37.0,65.0,79000.0,2135.135135135135,-34.587357,-58.446623
CHACARITA,2.0,40.0,70.0,90000.0,2250.0,-34.583872,-58.456193
CHACARITA,4.0,80.0,65.0,220000.0,2750.0,-34.585446,-58.45115
CHACARITA,4.0,80.0,65.0,220000.0,2750.0,-34.585446,-58.45115
CHACARITA,2.0,38.0,70.0,89000.0,2342.1052631578946,-34.585275,-58.451298
CHACARITA,2.0,55.0,75.0,200000.0,3636.3636363636365,-34.581574,-58.448421
PATERNAL,3.0,48.0,65.0,125000.0,2604.1666666666665,-34.59936,-58.468569
PATERNAL,2.0,45.0,70.0,89900.0,1997.7777777777778,-34.599693,-58.467474
PATERNAL,1.0,25.0,65.0,59931.0,2397.24,-34.601927,-58.459396
VILLA CRESPO,1.0,35.0,70.0,105000.0,3000.0,-34.597258,-58.439452
VILLA CRESPO,3.0,67.0,75.0,190000.0,2835.820895522388,-34.599415,-58.442427
VILLA CRESPO,2.0,70.0,75.0,199000.0,2842.8571428571427,-34.598116,-58.440801
VILLA CRESPO,3.0,77.0,70.0,182000.0,2363.6363636363635,-34.593876,-58.434161
VILLA CRESPO,3.0,72.0,75.0,198000.0,2750.0,-34.599415,-58.442427
VILLA CRESPO,3.0,65.0,75.0,179000.0,2753.846153846154,-34.603063,-58.443062
VILLA CRESPO,2.0,47.0,70.0,119000.0,2531.9148936170213,-34.592034,-58.440877
VILLA CRESPO,2.0,53.0,65.0,128000.0,2415.0943396226417,-34.593204,-58.439827
VILLA CRESPO,0.0,153.0,75.0,360000.0,2352.9411764705883,-34.605021,-58.438104
VILLA CRESPO,3.0,93.0,70.0,310000.0,3333.3333333333335,-34.597124,-58.432807
VILLA CRESPO,5.0,134.0,65.0,320000.0,2388.0597014925374,-34.601225,-58.439033
VILLA CRESPO,3.0,66.0,75.0,165000.0,2500.0,-34.602613,-58.441439
VILLA CRESPO,1.0,36.0,65.0,126000.0,3500.0,-34.595989,-58.430881
VILLA CRESPO,1.0,36.0,65.0,108000.0,3000.0,-34.595989,-58.430881
VILLA CRESPO,1.0,36.0,65.0,124000.0,3444.4444444444443,-34.595989,-58.430881
VILLA CRESPO,1.0,44.0,75.0,96000.0,2181.818181818182,-34.607181,-58.445345
VILLA CRESPO,1.0,34.0,75.0,75500.0,2220.5882352941176,-34.607181,-58.445345
VILLA CRESPO,1.0,25.0,75.0,58500.0,2340.0,-34.607181,-58.445345
VILLA CRESPO,1.0,25.0,75.0,81329.0,3253.16,-34.607181,-58.445345
VILLA CRESPO,1.0,34.0,75.0,80593.0,2370.3823529411766,-34.607181,-58.445345
VILLA CRESPO,2.0,38.0,75.0,98000.0,2578.9473684210525,-34.596789,-58.425769
VILLA CRESPO,2.0,40.0,75.0,102000.0,2550.0,-34.596873,-58.425576
VILLA CRESPO,2.0,38.0,75.0,89000.0,2342.1052631578946,-34.600599,-58.436964
VILLA CRESPO,3.0,79.0,75.0,242900.0,3074.6835443037976,-34.600305,-58.430699
VILLA CRESPO,3.0,77.0,75.0,237900.0,3089.6103896103896,-34.600305,-58.430699
VILLA CRESPO,0.0,65.0,75.0,199900.0,3075.3846153846152,-34.59964,-58.430036
VILLA CRESPO,4.0,90.0,75.0,215000.0,2388.8888888888887,-34.60116,-58.431441
VILLA CRESPO,1.0,38.0,75.0,79500.0,2092.1052631578946,-34.600734,-58.452703
VILLA CRESPO,1.0,42.0,75.0,112000.0,2666.6666666666665,-34.597079,-58.441709
VILLA CRESPO,3.0,83.0,75.0,240000.0,2891.5662650602408,-34.593981,-58.445081
VILLA CRESPO,2.0,30.0,75.0,88000.0,2933.3333333333335,-34.596767,-58.425867
VILLA CRESPO,3.0,89.0,75.0,171900.0,1931.4606741573034,-34.601943,-58.432462
VILLA CRESPO,1.0,32.0,75.0,97999.0,3062.46875,-34.600259,-58.430657
VILLA CRESPO,3.0,82.0,75.0,239999.0,2926.817073170732,-34.600259,-58.430657
VILLA CRESPO,2.0,80.0,75.0,204999.0,2562.4875,-34.600259,-58.430657
VILLA CRESPO,3.0,82.0,75.0,242999.0,2963.4024390243903,-34.600259,-58.430657
VILLA CRESPO,3.0,85.0,70.0,210000.0,2470.5882352941176,-34.604291,-58.438612
VILLA CRESPO,1.0,32.0,70.0,98746.0,3085.8125,-34.606579,-58.446474
